Id,ParameterId_220,CatalogItemId_220,ParameterId_107,CatalogItemId_107,conflict_type
10283,232,2474,1907,2474,BLOCKER_ID_CONFLICT
10286,231,2474,1904,2474,BLOCKER_ID_CONFLICT
10304,1842,1277,1843,1277,BLOCKER_ID_CONFLICT
10442,703,2479,1889,2483,BLOCKER_ID_CONFLICT
10445,468,2480,1892,2486,BLOCKER_ID_CONFLICT
10448,423,2480,1895,2489,BLOCKER_ID_CONFLICT
10451,469,2480,1898,2492,BLOCKER_ID_CONFLICT
10454,441,2480,1901,1784,BLOCKER_ID_CONFLICT
10457,407,2480,675,2498,BLOCKER_ID_CONFLICT
10460,374,2480,750,2498,BLOCKER_ID_CONFLICT
10463,354,2480,751,2498,BLOCKER_ID_CONFLICT
10466,690,2480,1389,2498,BLOCKER_ID_CONFLICT
10469,719,2480,1390,2498,BLOCKER_ID_CONFLICT
