Id,ParameterId,CatalogItemId
10283,232,2474
10286,231,2474
10440,734,2479
10441,666,2479
10442,703,2479
10443,667,2479
10444,478,2480
10445,468,2480
10446,386,2480
10447,384,2480
10448,423,2480
10449,421,2480
10450,422,2480
10451,469,2480
10452,462,2480
10453,424,2480
10454,441,2480
10455,442,2480
10456,406,2480
10457,407,2480
10458,434,2480
10459,435,2480
10460,374,2480
10461,375,2480
10462,353,2480
10463,354,2480
10464,725,2480
10465,697,2480
10466,690,2480
10467,704,2480
10468,749,2480
10469,719,2480
10470,706,2480
10471,696,2480
10472,695,2480
10473,729,2480
10474,727,2480
10475,728,2480
10476,732,2480
10477,731,2480
10478,733,2480
10479,698,2480
10480,694,2480
10481,43,2481
10482,44,2481
10483,45,2481
10484,46,2481
10485,118,2481
